station,lines,latitude,longitude,am_entries,am_exits,pm_entries,pm_exits,am_flow,pm_flow
LEFFERTS BLVD,A,40.685975,-73.824713,27590,5117,9853,23688,in,out
AQUEDUCT-N CNDT,A,40.668234,-73.834058,3808,1037,2412,9532,in,out
AQUEDUCT TRACK,A,40.668221,-73.834026,1986,349,7235,917,in,in
HOWARD BCH-JFK,A,40.660476,-73.830301,4822,780,6312,2433,in,in
BROAD CHANNEL,AS,40.608693,-73.816068,1151,128,673,395,in,in
BEACH 90 ST,AS,40.588032,-73.813684,2645,785,3943,3659,in,in
BEACH 98 ST,AS,40.585514,-73.820143,1441,574,2595,2781,in,out
BEACH 105 ST,AS,40.583542,-73.82643,891,423,1043,1504,in,out
ROCKAWAY PK 116,AS,40.580454,-73.837459,1697,1038,3750,3966,in,out
BEACH 67 ST,A,40.590867,-73.797011,8337,3285,6466,9801,in,out
BEACH 60 ST,A,40.592334,-73.788493,8524,2767,5899,8879,in,out
BEACH 44 ST,A,40.593214,-73.776433,2228,918,1376,2465,in,out
BEACH 36 ST,A,40.595381,-73.768194,3342,1012,2013,3511,in,out
BEACH 25 ST,A,40.600138,-73.76152,6675,2245,3578,6527,in,out
FAR ROCKAWAY,A,40.603983,-73.755383,14674,8995,13483,15865,in,out
155 ST,BD,40.829934,-73.938632,7679,2461,10584,6693,in,in
167 ST,BD,40.833773,-73.91843,32912,6185,25145,14491,in,in
170 ST,BD,40.839301,-73.913355,15942,3200,15962,11957,in,in
174-175 ST,BD,40.845892,-73.910136,15500,3123,15082,6325,in,in
TREMONT AVE,BD,40.850307,-73.905244,25426,6976,20128,20796,in,out
182-183 ST,BD,40.856085,-73.900695,16698,2241,12426,5778,in,in
FORDHAM ROAD,BD,40.862803,-73.901034,33457,7444,33633,20663,in,in
KINGSBRIDGE RD,BD,40.866974,-73.893485,21614,5723,15271,20305,in,out
BEDFORD PARK BL,BD,40.873026,-73.886919,18747,3778,13804,15793,in,out
NORWOOD-205 ST,D,40.874827,-73.878872,22180,6064,17496,22182,in,out
7 AVE-53 ST,BDE,40.762877,-73.98159,7795,36653,71783,41926,out,in
5 AVE-53 ST,EM,40.760179,-73.975196,4335,93494,125186,40525,out,in
LEXINGTON-53 ST,EM6,40.75753,-73.969102,42822,170980,192949,88029,out,in
COURT SQ-23 ST,EMG,40.747257,-73.945112,16901,10024,27650,6258,in,in
QUEENS PLAZA,EMR,40.748948,-73.937194,8379,18089,36758,20823,out,in
36 ST,MR,40.75202,-73.92874,3127,6483,17443,6861,out,in
STEINWAY ST,MR,40.756864,-73.920736,38399,16023,42621,40902,in,in
46 ST,MR,40.756312,-73.913333,20295,6296,20272,29025,in,out
NORTHERN BLVD,MR,40.752898,-73.905973,16105,5850,17357,21402,in,out
65 ST,MR,40.749663,-73.898485,8380,2051,8662,10990,in,out
ROOSEVELT AVE,EFMR7,40.746655,-73.891361,151355,42172,126737,136626,in,out
ELMHURST AVE,MR,40.742445,-73.882005,51109,3728,31167,13948,in,in
GRAND AV-NEWTON,MR,40.736998,-73.877242,68569,10326,41687,38134,in,in
WOODHAVEN BLVD,MR,40.73308,-73.869259,40401,8039,64350,56342,in,in
63 DR-REGO PARK,MR,40.729869,-73.86161,50947,11567,45038,27813,in,in
67 AVE,MR,40.726462,-73.85263,34750,5537,17749,16311,in,in
FOREST HILLS-71,EFMR,40.721681,-73.84439,57983,8419,64483,48915,in,in
75 AVE,EF,40.718477,-73.837223,13008,721,8034,1452,in,in
VAN WYCK BLVD,EF,40.709174,-73.820593,17351,1970,8344,8058,in,in
SUTPHIN BLVD,F,40.705416,-73.810562,10317,2164,10488,9976,in,in
PARSONS BLVD,F,40.707564,-73.803326,21359,8368,15531,18949,in,out
169 ST,F,40.710459,-73.7936,27851,8158,21373,26064,in,out
JAMAICA-179 ST,F,40.712622,-73.783815,92719,10629,37257,35701,in,in
COURT SQ,EMG,40.747257,-73.945112,10430,22593,36442,11786,out,in
VAN ALSTON-21ST,G,40.743973,-73.949876,1628,3916,5822,4102,out,in
GREENPOINT AVE,G,40.731324,-73.954425,23240,12306,26639,20638,in,in
NASSAU AV,G,40.724608,-73.951271,25490,6629,24278,17124,in,in
METROPOLITAN AV,GL,40.713875,-73.951592,14353,4417,27277,21433,in,in
BROADWAY,G,40.7061,-73.950348,6737,3640,11679,11192,in,in
FLUSHING AVE,G,40.700374,-73.950284,4104,4587,9164,8180,out,in
MYRTLE-WILLOUGH,G,40.694568,-73.949046,11422,2706,13168,11128,in,in
