C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/17/2015,20:00:00,REGULAR,0000000535,0000001934                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,00:00:00,REGULAR,0000000544,0000001951                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,04:00:00,REGULAR,0000000544,0000001955                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,08:00:00,REGULAR,0000000544,0000001971                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,08:20:55,REGULAR,0000000544,0000001977                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,08:23:48,REGULAR,0000000544,0000001977                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,10:00:02,REGULAR,0000000544,0000002010                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,12:00:00,REGULAR,0000000547,0000002049                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,16:00:00,REGULAR,0000000561,0000002142                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/18/2015,20:00:00,REGULAR,0000000589,0000002239                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/12/2015,00:00:00,REGULAR,0000000022,0000000054                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/12/2015,04:00:00,REGULAR,0000000022,0000000054                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/12/2015,08:00:00,REGULAR,0000000022,0000000055                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/12/2015,12:00:00,REGULAR,0000000022,0000000059                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/12/2015,16:00:00,REGULAR,0000000022,0000000061                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/12/2015,20:00:00,REGULAR,0000000022,0000000067                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/13/2015,00:00:00,REGULAR,0000000022,0000000069                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/13/2015,04:00:00,REGULAR,0000000022,0000000071                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/13/2015,08:00:00,REGULAR,0000000022,0000000075                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/13/2015,12:00:00,REGULAR,0000000033,0000000082                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/13/2015,16:00:00,REGULAR,0000000191,0000000410                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/13/2015,20:00:00,REGULAR,0000000277,0000000635                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,00:00:00,REGULAR,0000000304,0000000687                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,04:00:00,REGULAR,0000000306,0000000692                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,08:00:00,REGULAR,0000000307,0000000718                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,12:00:00,REGULAR,0000000321,0000000875                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,12:52:19,REGULAR,0000000331,0000000913                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,12:54:10,REGULAR,0000000331,0000000914                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,16:00:00,REGULAR,0000000396,0000001117                                        
